Support Ticket ID,Product,Customer,Status,Priority,CSAT Score,TTR (hours),Created Date,Resolved Date,Comments
SUP-3551,FNC,Xray04,Closed,High,2,63,2023-09-13,2023-01-05,Unclear communication
SUP-3552,FNB,Quebec03,In Progress,Low,4,142,2023-08-10,2023-05-13,Product feature missing
SUP-3553,FNC,Golf01,Closed,Urgent,1,82,2024-08-25,2023-07-25,Excellent support
SUP-3554,FNC,Yankee02,Closed,Urgent,5,46,2023-09-02,2024-07-23,Need follow-up
SUP-3555,FNC,Papa01,Open,Medium,3,4,2025-06-05,2024-02-21,Customer waited too long
SUP-3556,FNB,Xray03,Closed,Medium,1,65,2025-02-05,2025-01-12,Resolved after escalation
SUP-3557,FNC,Victor01,Closed,Urgent,5,59,2024-03-30,2024-08-27,Resolved after escalation
SUP-3558,FNC,Lima03,In Progress,High,3,116,2025-03-22,2023-09-29,Customer waited too long
SUP-3559,FNB,Oscar04,Closed,Low,4,150,2023-09-20,2025-01-19,Resolved after escalation
SUP-3560,FNC,Charlie02,Open,Low,5,11,2023-01-11,2025-03-17,Issue resolved quickly
SUP-3561,FNB,India02,Open,High,3,155,2024-12-12,2023-11-15,Unclear communication
SUP-3562,FNB,Xray01,Closed,Urgent,4,156,2023-12-26,2023-07-26,Excellent support
SUP-3563,FNC,Victor01,Open,High,2,124,2024-11-11,2023-04-29,Issue resolved quickly
SUP-3564,FNC,Kilo01,In Progress,High,2,131,2025-04-07,2024-05-26,Helpful and responsive
SUP-3565,FNA,Delta01,Closed,Urgent,3,43,2024-06-09,2023-05-31,Excellent support
SUP-3566,FNA,Xray04,In Progress,Medium,2,77,2025-01-30,2024-05-17,Customer waited too long
SUP-3567,FNC,Golf02,Pending,Medium,2,35,2024-08-26,2023-07-31,Customer waited too long
SUP-3568,FNB,Echo02,Closed,Medium,4,97,2025-01-02,2023-10-29,Excellent support
SUP-3569,FNB,Juliet03,Open,Low,4,161,2025-04-23,2023-04-11,Slow response time
SUP-3570,FNA,Oscar01,In Progress,High,5,40,2024-05-07,2024-04-11,Excellent support
SUP-3571,FNB,Whiskey02,In Progress,High,2,48,2025-03-31,2025-07-18,Slow response time
SUP-3572,FNA,Foxtrot04,Open,Low,3,101,2023-09-14,2023-09-19,Unclear communication
SUP-3573,FNB,Hotel03,Pending,High,2,51,2024-02-27,2024-03-23,Customer waited too long
SUP-3574,FNC,Lima03,Open,Urgent,1,121,2024-10-27,2024-01-30,Helpful and responsive
SUP-3575,FNB,November03,Pending,High,5,147,2023-09-04,2023-08-18,Slow response time
SUP-3576,FNB,Delta04,Pending,Urgent,1,24,2025-02-02,2023-06-02,Customer waited too long
SUP-3577,FNB,Hotel01,In Progress,Medium,4,41,2024-06-17,2024-06-20,Customer waited too long
SUP-3578,FNA,Charlie04,Open,Low,4,84,2024-07-10,2024-12-27,Need follow-up
SUP-3579,FNA,Bravo01,In Progress,High,2,70,2024-06-07,2023-01-28,Resolved after escalation
SUP-3580,FNB,November03,Open,Low,3,56,2023-12-21,2025-03-27,Slow response time
SUP-3581,FNC,Sierra02,Closed,Urgent,2,65,2024-03-17,2025-07-15,Product feature missing
SUP-3582,FNC,Mike03,In Progress,Medium,1,96,2024-01-12,2024-11-24,Unclear communication
SUP-3583,FNC,Sierra04,Closed,Low,4,121,2024-06-01,2024-07-21,Customer waited too long
SUP-3584,FNA,Golf04,In Progress,Low,1,106,2024-05-31,2024-03-08,Issue resolved quickly
SUP-3585,FNC,Alpha01,Closed,High,3,85,2023-03-16,2023-07-31,Need follow-up
SUP-3586,FNA,Lima02,Open,Urgent,2,29,2024-04-07,2024-05-20,Product feature missing
SUP-3587,FNB,Kilo02,In Progress,High,1,67,2024-02-05,2024-07-14,Resolved after escalation
SUP-3588,FNA,Whiskey02,Open,High,2,15,2024-05-31,2023-09-26,Issue resolved quickly
SUP-3589,FNC,Yankee02,Closed,Medium,1,136,2023-08-28,2023-05-07,Pending customer feedback
SUP-3590,FNB,Victor01,Pending,Urgent,5,90,2023-09-01,2025-03-26,Resolved after escalation
SUP-3591,FNB,Oscar01,In Progress,Low,5,79,2024-06-21,2023-05-06,Resolved after escalation
SUP-3592,FNB,Mike01,In Progress,Urgent,5,17,2024-07-20,2023-03-20,Customer waited too long
SUP-3593,FNB,Uniform02,Closed,Urgent,2,65,2023-07-21,2024-02-29,Need follow-up
SUP-3594,FNC,Xray01,In Progress,Medium,1,26,2025-02-14,2024-08-02,Pending customer feedback
SUP-3595,FNB,Sierra02,Pending,Low,3,102,2024-09-20,2025-02-23,Slow response time
SUP-3596,FNA,Hotel01,Pending,Low,4,78,2023-03-05,2024-08-21,Need follow-up
SUP-3597,FNB,November02,In Progress,Medium,4,56,2024-06-12,2025-05-15,Need follow-up
SUP-3598,FNA,India03,Pending,Urgent,3,63,2024-02-29,2024-05-14,Unclear communication
SUP-3599,FNB,Kilo01,Closed,High,4,14,2023-08-26,2025-07-28,Customer waited too long
SUP-3600,FNC,Echo04,In Progress,Medium,5,107,2023-06-26,2024-08-26,Customer waited too long
SUP-3601,FNB,Charlie01,In Progress,High,1,73,2024-03-20,2024-11-11,Issue resolved quickly
SUP-3602,FNA,Sierra03,Pending,High,2,64,2024-12-31,2023-10-27,Pending customer feedback
SUP-3603,FNC,Sierra03,Pending,Medium,4,155,2024-09-06,2023-12-01,Excellent support
SUP-3604,FNC,November04,Open,High,3,88,2023-08-08,2024-06-10,Product feature missing
SUP-3605,FNC,Romeo02,In Progress,Medium,2,31,2024-01-30,2024-08-25,Slow response time
SUP-3606,FNC,Xray02,Closed,Low,1,41,2025-03-19,2025-07-04,Product feature missing
SUP-3607,FNC,Foxtrot02,Pending,High,2,121,2024-12-15,2023-10-03,Slow response time
SUP-3608,FNA,Alpha04,Closed,Low,2,49,2024-04-14,2023-10-20,Pending customer feedback
SUP-3609,FNB,Bravo01,Open,High,1,135,2025-05-18,2025-01-30,Issue resolved quickly
SUP-3610,FNA,Bravo02,Open,High,5,56,2023-02-22,2024-09-13,Issue resolved quickly
SUP-3611,FNA,Mike04,In Progress,High,1,106,2025-02-08,2024-05-12,Unclear communication
SUP-3612,FNB,India01,Open,Urgent,2,28,2023-06-28,2023-03-09,Helpful and responsive
SUP-3613,FNB,Romeo02,Pending,High,3,104,2025-07-30,2024-07-28,Helpful and responsive
SUP-3614,FNB,Tango04,Open,High,1,78,2024-11-17,2023-03-23,Need follow-up
SUP-3615,FNC,Alpha03,Open,Low,1,107,2024-02-27,2025-06-06,Slow response time
SUP-3616,FNC,November03,In Progress,High,5,116,2023-07-04,2023-06-21,Product feature missing
SUP-3617,FNC,Tango04,Closed,Medium,4,30,2023-02-16,2025-05-11,Excellent support
SUP-3618,FNC,Delta01,Closed,High,3,32,2025-06-25,2025-05-09,Product feature missing
SUP-3619,FNB,Hotel03,Pending,Low,3,75,2023-10-10,2023-09-22,Helpful and responsive
SUP-3620,FNB,Sierra04,Pending,Urgent,4,148,2024-08-31,2023-12-18,Customer waited too long
SUP-3621,FNB,Foxtrot03,Open,Low,2,145,2025-07-25,2023-10-19,Slow response time
SUP-3622,FNC,Oscar02,Pending,Medium,3,110,2023-02-07,2023-08-24,Unclear communication
SUP-3623,FNB,Bravo04,Pending,Medium,4,146,2023-04-19,2024-04-29,Customer waited too long
SUP-3624,FNA,Quebec02,Open,High,2,1,2025-02-20,2024-01-28,Slow response time
SUP-3625,FNB,Bravo03,Closed,Medium,5,54,2024-03-05,2023-01-26,Issue resolved quickly
SUP-3626,FNC,Mike03,Open,Low,1,137,2025-07-09,2023-10-18,Helpful and responsive
SUP-3627,FNB,Foxtrot02,Pending,Low,3,75,2024-12-24,2025-06-14,Helpful and responsive
SUP-3628,FNA,Quebec04,Pending,Urgent,4,38,2024-03-11,2025-07-13,Issue resolved quickly
SUP-3629,FNB,Lima01,Pending,Low,2,4,2025-07-14,2024-03-07,Pending customer feedback
SUP-3630,FNC,Juliet02,Closed,Low,4,12,2024-08-21,2024-03-23,Customer waited too long
SUP-3631,FNC,Delta01,Pending,High,1,38,2025-03-03,2024-12-31,Product feature missing
SUP-3632,FNA,Hotel03,Open,Medium,1,158,2025-07-28,2023-12-13,Slow response time
SUP-3633,FNA,Mike03,Pending,Low,1,32,2024-03-12,2023-02-09,Product feature missing
SUP-3634,FNC,Alpha01,In Progress,High,2,165,2025-04-26,2024-05-09,Customer waited too long
SUP-3635,FNA,Charlie02,In Progress,High,4,81,2024-07-13,2023-09-04,Need follow-up
SUP-3636,FNA,Uniform04,In Progress,Medium,4,147,2024-11-13,2024-09-10,Customer waited too long
SUP-3637,FNB,Romeo01,Closed,High,5,14,2024-06-17,2024-04-21,Slow response time
SUP-3638,FNA,Golf04,In Progress,Urgent,3,76,2025-07-14,2023-01-12,Slow response time
SUP-3639,FNC,India03,In Progress,Low,2,7,2024-03-09,2023-08-01,Unclear communication
SUP-3640,FNA,Oscar04,In Progress,Urgent,5,132,2024-04-20,2024-08-05,Pending customer feedback
SUP-3641,FNA,Lima04,Pending,Medium,1,164,2023-03-09,2025-06-19,Need follow-up
SUP-3642,FNA,Mike02,Open,Urgent,2,104,2025-01-17,2024-02-24,Resolved after escalation
SUP-3643,FNA,Romeo04,Open,Urgent,4,4,2024-07-09,2024-07-02,Excellent support
SUP-3644,FNA,Kilo02,Open,Medium,4,120,2023-01-30,2024-07-14,Excellent support
SUP-3645,FNA,Hotel01,Open,High,4,106,2024-09-17,2024-03-13,Customer waited too long
SUP-3646,FNC,Lima01,Open,Urgent,3,53,2024-01-20,2025-07-09,Slow response time
SUP-3647,FNB,Hotel03,Open,Medium,5,129,2023-03-04,2025-03-07,Unclear communication
SUP-3648,FNC,Kilo04,Open,Urgent,3,33,2023-12-15,2024-10-01,Pending customer feedback
SUP-3649,FNB,Charlie04,In Progress,High,1,36,2025-07-17,2025-04-01,Issue resolved quickly
SUP-3650,FNB,Juliet01,In Progress,Urgent,3,2,2024-01-26,2024-05-04,Helpful and responsive
SUP-3651,FNC,Papa01,Pending,Low,3,43,2025-07-12,2024-12-18,Resolved after escalation
SUP-3652,FNA,Romeo04,Open,Low,2,132,2023-06-07,2023-07-02,Helpful and responsive
SUP-3653,FNC,Papa04,Pending,Urgent,5,37,2024-03-05,2024-05-03,Customer waited too long
SUP-3654,FNA,Victor03,Closed,Low,5,9,2023-04-16,2025-03-03,Helpful and responsive
SUP-3655,FNB,Uniform03,Pending,Low,3,156,2023-04-06,2023-12-26,Product feature missing
SUP-3656,FNB,Yankee04,Open,High,4,11,2023-03-04,2023-03-20,Unclear communication
SUP-3657,FNB,Foxtrot04,In Progress,High,1,84,2023-11-06,2024-06-21,Helpful and responsive
SUP-3658,FNA,Uniform03,In Progress,Urgent,4,13,2023-06-26,2024-07-21,Unclear communication
SUP-3659,FNA,Lima03,Closed,Medium,4,131,2023-11-28,2025-05-25,Pending customer feedback
SUP-3660,FNB,India02,Pending,Low,3,129,2024-01-23,2023-12-02,Unclear communication
SUP-3661,FNB,Yankee03,In Progress,Medium,5,87,2023-08-01,2024-10-17,Product feature missing
SUP-3662,FNC,Delta01,Pending,Urgent,2,54,2023-04-05,2024-09-11,Issue resolved quickly
SUP-3663,FNA,Papa03,Closed,Urgent,4,30,2025-05-10,2024-07-23,Resolved after escalation
SUP-3664,FNB,Tango03,In Progress,Urgent,3,95,2025-06-06,2023-09-22,Pending customer feedback
SUP-3665,FNB,Xray02,Closed,Urgent,3,65,2023-04-17,2023-06-18,Slow response time
SUP-3666,FNC,Kilo01,In Progress,Medium,2,43,2024-09-18,2024-06-25,Unclear communication
SUP-3667,FNC,Quebec03,Open,Low,2,84,2025-07-24,2024-07-06,Pending customer feedback
SUP-3668,FNA,Golf03,Pending,High,5,25,2023-01-25,2024-12-07,Slow response time
SUP-3669,FNC,Golf02,Closed,Medium,4,100,2024-05-06,2023-09-11,Issue resolved quickly
SUP-3670,FNA,Lima03,In Progress,High,5,90,2025-01-25,2023-08-30,Product feature missing
SUP-3671,FNB,Golf04,Open,Urgent,5,16,2025-04-05,2023-06-07,Product feature missing
SUP-3672,FNB,Papa04,In Progress,Low,1,150,2024-07-10,2025-01-31,Product feature missing
SUP-3673,FNB,Victor02,In Progress,High,3,59,2023-07-16,2023-08-21,Issue resolved quickly
SUP-3674,FNC,Yankee02,Open,Medium,2,59,2024-05-01,2024-01-28,Helpful and responsive
SUP-3675,FNB,India02,Closed,High,3,74,2024-03-08,2024-12-26,Excellent support
SUP-3676,FNA,Sierra02,Pending,Medium,3,140,2023-08-17,2025-04-02,Unclear communication
SUP-3677,FNB,Golf04,Pending,Low,5,157,2024-01-07,2024-12-05,Issue resolved quickly
SUP-3678,FNA,Quebec02,Open,Low,3,158,2024-09-16,2024-08-30,Resolved after escalation
SUP-3679,FNC,Hotel04,Open,Low,3,76,2025-05-29,2024-02-25,Issue resolved quickly
SUP-3680,FNC,Papa04,Pending,Medium,2,122,2023-09-19,2023-08-30,Issue resolved quickly
SUP-3681,FNC,Bravo04,In Progress,Medium,3,89,2025-06-12,2025-04-04,Slow response time
SUP-3682,FNC,Golf02,Pending,Low,4,142,2023-01-22,2025-05-13,Helpful and responsive
SUP-3683,FNC,Echo04,Closed,Low,1,122,2025-07-18,2025-02-04,Resolved after escalation
SUP-3684,FNA,Papa02,Pending,Urgent,1,127,2023-05-20,2025-03-10,Excellent support
SUP-3685,FNC,Juliet04,Pending,Low,4,110,2025-01-01,2023-01-17,Pending customer feedback
SUP-3686,FNB,Echo03,In Progress,Urgent,1,4,2025-04-09,2023-05-31,Need follow-up
SUP-3687,FNB,Tango04,Pending,Low,3,41,2025-07-15,2024-08-21,Issue resolved quickly
SUP-3688,FNA,Echo04,Open,Low,2,36,2023-12-19,2024-12-27,Helpful and responsive
SUP-3689,FNC,India03,In Progress,Low,5,11,2023-09-20,2023-03-19,Excellent support
SUP-3690,FNC,Oscar04,Pending,Low,3,71,2025-05-29,2024-03-18,Unclear communication
SUP-3691,FNC,Hotel04,In Progress,Medium,5,44,2024-01-26,2023-11-06,Excellent support
SUP-3692,FNC,Papa04,In Progress,Medium,3,91,2025-01-11,2023-06-05,Pending customer feedback
SUP-3693,FNA,Kilo01,Pending,High,3,127,2025-07-31,2023-05-01,Product feature missing
SUP-3694,FNA,Sierra01,Open,Low,3,146,2024-06-16,2025-06-23,Product feature missing
SUP-3695,FNC,Delta02,Open,High,2,39,2024-04-05,2023-08-31,Pending customer feedback
SUP-3696,FNA,Lima02,Pending,Medium,2,49,2025-03-03,2024-04-22,Product feature missing
SUP-3697,FNC,Xray03,In Progress,Low,2,167,2024-04-11,2024-06-03,Excellent support
SUP-3698,FNC,Kilo03,Closed,Low,3,143,2023-03-30,2025-06-16,Slow response time
SUP-3699,FNB,Sierra02,Pending,Low,3,66,2024-06-07,2025-01-03,Unclear communication
SUP-3700,FNA,Sierra01,Closed,Medium,4,117,2023-05-31,2024-04-01,Issue resolved quickly
SUP-3701,FNB,Golf03,Open,Urgent,4,74,2023-11-09,2025-04-08,Customer waited too long
SUP-3702,FNB,Whiskey03,Open,Urgent,5,120,2023-08-04,2025-02-06,Pending customer feedback
SUP-3703,FNA,Lima01,Open,High,2,74,2024-10-04,2023-08-05,Helpful and responsive
SUP-3704,FNB,November01,Closed,Urgent,1,45,2024-12-19,2024-10-31,Excellent support
SUP-3705,FNB,Romeo01,Closed,Low,5,116,2024-06-19,2024-10-07,Customer waited too long
SUP-3706,FNB,Hotel03,Closed,High,5,25,2023-05-04,2023-05-13,Customer waited too long
SUP-3707,FNC,Uniform02,Open,High,1,119,2024-04-24,2023-09-18,Issue resolved quickly
SUP-3708,FNB,India02,Pending,Low,1,30,2024-08-23,2025-04-21,Product feature missing
SUP-3709,FNC,November02,Closed,High,2,10,2024-04-12,2023-05-24,Resolved after escalation
SUP-3710,FNA,Sierra04,Open,High,3,140,2024-11-20,2024-05-10,Slow response time
SUP-3711,FNC,Victor04,In Progress,Urgent,5,128,2024-07-31,2023-10-25,Slow response time
SUP-3712,FNC,Juliet04,In Progress,Medium,1,148,2025-03-04,2023-12-30,Excellent support
SUP-3713,FNC,Bravo04,Pending,Medium,2,25,2024-07-07,2024-07-29,Slow response time
SUP-3714,FNB,Hotel01,In Progress,Urgent,5,144,2023-07-07,2025-05-31,Customer waited too long
SUP-3715,FNA,Uniform02,In Progress,High,3,104,2023-05-29,2024-07-26,Unclear communication
SUP-3716,FNB,Golf02,Closed,Urgent,5,75,2023-05-23,2023-08-26,Pending customer feedback
SUP-3717,FNB,Whiskey03,Closed,Medium,1,36,2023-05-22,2023-05-11,Issue resolved quickly
SUP-3718,FNC,Oscar03,Open,High,1,30,2024-03-11,2023-09-15,Product feature missing
SUP-3719,FNB,Delta01,Closed,Medium,4,84,2023-01-31,2024-05-01,Helpful and responsive
SUP-3720,FNC,Tango03,Open,Medium,2,65,2024-01-25,2023-12-18,Product feature missing
SUP-3721,FNA,Charlie02,Pending,Medium,2,56,2025-04-18,2023-02-17,Pending customer feedback
SUP-3722,FNA,Sierra04,Closed,Medium,3,50,2024-02-23,2023-04-21,Issue resolved quickly
SUP-3723,FNC,Charlie01,In Progress,Medium,5,113,2025-03-11,2024-11-20,Resolved after escalation
SUP-3724,FNA,Uniform01,Closed,High,3,9,2024-10-06,2023-08-25,Resolved after escalation
SUP-3725,FNB,Yankee02,Pending,Low,1,140,2023-12-01,2023-05-31,Pending customer feedback
SUP-3726,FNB,Charlie03,Pending,High,5,25,2024-12-01,2024-10-13,Customer waited too long
SUP-3727,FNC,Victor02,Closed,Urgent,4,62,2023-09-07,2024-10-03,Product feature missing
SUP-3728,FNA,Whiskey02,Open,Urgent,4,19,2023-09-19,2023-07-10,Product feature missing
SUP-3729,FNB,Charlie01,Open,High,5,64,2023-11-11,2024-06-20,Excellent support
SUP-3730,FNB,Bravo02,In Progress,Low,2,19,2025-05-21,2023-05-10,Product feature missing
SUP-3731,FNA,Hotel02,Closed,Urgent,3,86,2025-06-09,2023-11-03,Customer waited too long
SUP-3732,FNB,Alpha02,Closed,High,4,56,2024-03-31,2024-09-03,Issue resolved quickly
SUP-3733,FNA,Echo03,Closed,High,4,3,2023-11-11,2025-02-13,Unclear communication
SUP-3734,FNB,Delta03,In Progress,Low,5,127,2024-06-25,2023-09-09,Customer waited too long
SUP-3735,FNA,Romeo04,In Progress,Urgent,4,62,2025-04-30,2023-11-15,Pending customer feedback
SUP-3736,FNC,Oscar01,Pending,Urgent,1,98,2024-05-28,2024-02-14,Excellent support
SUP-3737,FNB,Oscar04,In Progress,Urgent,5,20,2023-10-24,2024-03-06,Pending customer feedback
SUP-3738,FNB,Papa02,In Progress,Low,1,115,2023-07-30,2023-04-10,Unclear communication
SUP-3739,FNA,Alpha03,Pending,Urgent,5,29,2024-12-29,2024-10-20,Helpful and responsive
SUP-3740,FNC,Xray01,Closed,High,1,35,2025-01-10,2024-06-29,Resolved after escalation
SUP-3741,FNB,Lima02,In Progress,Low,3,3,2025-01-11,2025-05-10,Helpful and responsive
SUP-3742,FNA,November02,In Progress,Low,3,105,2023-06-15,2023-01-02,Pending customer feedback
SUP-3743,FNC,Charlie02,Open,Low,5,5,2024-12-07,2023-01-24,Need follow-up
SUP-3744,FNA,Mike04,Open,High,3,2,2025-07-19,2024-05-12,Resolved after escalation
SUP-3745,FNA,Victor03,In Progress,Urgent,3,30,2025-06-06,2024-03-09,Unclear communication
SUP-3746,FNC,Whiskey02,In Progress,High,4,74,2023-09-23,2025-01-08,Customer waited too long
SUP-3747,FNA,Bravo03,Open,Low,5,30,2023-08-23,2023-03-13,Product feature missing
SUP-3748,FNB,Bravo02,Open,Medium,4,97,2024-01-30,2024-01-26,Unclear communication
SUP-3749,FNB,Xray01,Pending,Urgent,1,165,2025-07-26,2023-04-13,Resolved after escalation
SUP-3750,FNC,Oscar01,Closed,Low,4,72,2024-12-11,2025-07-15,Need follow-up
SUP-3751,FNB,Victor03,Open,High,4,69,2023-01-07,2024-01-31,Pending customer feedback
SUP-3752,FNC,Charlie04,Closed,Urgent,4,160,2025-01-10,2024-12-15,Excellent support
SUP-3753,FNA,Uniform04,In Progress,Medium,5,47,2025-05-24,2024-07-02,Product feature missing
SUP-3754,FNC,Kilo01,Closed,High,2,17,2023-07-03,2025-02-01,Excellent support
SUP-3755,FNB,Romeo01,In Progress,Medium,4,156,2023-10-19,2023-11-11,Customer waited too long
SUP-3756,FNB,Uniform01,In Progress,Low,2,138,2025-07-12,2025-06-03,Unclear communication
SUP-3757,FNC,Papa01,In Progress,High,2,154,2024-12-12,2023-03-27,Unclear communication
SUP-3758,FNB,Golf01,Open,Urgent,2,60,2023-06-13,2025-01-25,Helpful and responsive
SUP-3759,FNC,Alpha04,Open,High,4,56,2023-01-22,2024-02-11,Slow response time
SUP-3760,FNB,Uniform02,Pending,Urgent,1,151,2024-01-30,2024-03-21,Helpful and responsive
SUP-3761,FNC,Hotel01,Closed,Medium,1,123,2025-03-13,2025-05-18,Helpful and responsive
SUP-3762,FNB,Papa03,Pending,Low,4,14,2023-12-30,2024-03-02,Issue resolved quickly
SUP-3763,FNB,India04,Pending,Urgent,5,62,2023-04-06,2024-05-11,Helpful and responsive
SUP-3764,FNC,Lima01,In Progress,Medium,3,158,2025-03-20,2024-07-19,Customer waited too long
SUP-3765,FNB,Bravo01,Closed,Urgent,5,40,2023-09-20,2024-08-27,Product feature missing
SUP-3766,FNB,Delta02,Open,Low,1,67,2024-05-07,2024-12-04,Issue resolved quickly
SUP-3767,FNA,Alpha01,Open,High,1,122,2024-08-03,2025-04-17,Helpful and responsive
SUP-3768,FNA,Delta04,Closed,High,2,147,2023-07-27,2025-07-02,Issue resolved quickly
SUP-3769,FNA,Bravo02,In Progress,Medium,4,126,2024-03-04,2023-04-11,Need follow-up
SUP-3770,FNC,November04,Closed,Low,4,141,2024-10-07,2025-07-05,Resolved after escalation
SUP-3771,FNC,Foxtrot04,Open,High,2,110,2023-09-29,2024-06-13,Need follow-up
SUP-3772,FNB,Tango04,Pending,Medium,1,72,2024-01-22,2023-12-10,Resolved after escalation
SUP-3773,FNB,Foxtrot04,Open,High,1,100,2025-05-13,2024-01-28,Pending customer feedback
SUP-3774,FNA,Delta01,In Progress,Medium,3,7,2025-07-05,2023-05-03,Pending customer feedback
SUP-3775,FNB,Papa02,In Progress,Low,5,118,2023-12-12,2025-04-05,Resolved after escalation
SUP-3776,FNC,Tango04,In Progress,Urgent,5,71,2024-08-19,2023-03-14,Slow response time
SUP-3777,FNC,India02,In Progress,Medium,4,115,2023-05-16,2023-12-06,Resolved after escalation
SUP-3778,FNB,Hotel01,Open,Low,1,41,2023-07-22,2023-03-14,Need follow-up
SUP-3779,FNB,Delta01,Open,High,1,48,2023-08-15,2025-04-19,Excellent support
SUP-3780,FNC,Charlie01,In Progress,High,2,146,2024-08-29,2024-03-14,Product feature missing
SUP-3781,FNB,Yankee04,Pending,Urgent,5,43,2025-01-16,2025-06-21,Slow response time
SUP-3782,FNC,Whiskey02,Open,Low,2,164,2024-02-10,2024-01-06,Customer waited too long
SUP-3783,FNA,Whiskey01,Pending,High,2,115,2025-05-16,2025-03-13,Product feature missing
SUP-3784,FNC,Alpha03,Open,High,3,68,2023-05-30,2023-07-29,Need follow-up
SUP-3785,FNC,Oscar03,In Progress,Medium,5,87,2024-03-17,2023-11-08,Issue resolved quickly
SUP-3786,FNB,Alpha04,Pending,Low,1,28,2024-02-12,2024-01-27,Customer waited too long
SUP-3787,FNA,Lima01,Closed,Urgent,2,132,2025-05-13,2025-03-02,Resolved after escalation
SUP-3788,FNC,Victor03,Closed,High,5,137,2023-08-21,2023-05-03,Customer waited too long
SUP-3789,FNA,Romeo04,Open,High,1,90,2023-07-19,2024-06-11,Excellent support
SUP-3790,FNA,Juliet02,In Progress,Medium,5,115,2024-07-15,2025-03-28,Slow response time
SUP-3791,FNB,Lima04,In Progress,Low,3,52,2024-02-26,2024-12-10,Pending customer feedback
SUP-3792,FNC,Charlie04,In Progress,Medium,5,41,2023-03-18,2025-04-22,Slow response time
SUP-3793,FNA,Lima01,In Progress,Urgent,5,143,2024-07-15,2025-06-24,Resolved after escalation
SUP-3794,FNA,Sierra04,Open,Medium,3,92,2023-02-05,2023-08-19,Unclear communication
SUP-3795,FNC,Foxtrot01,Closed,High,2,84,2025-01-06,2023-02-26,Unclear communication
SUP-3796,FNC,Uniform03,Pending,Low,2,69,2025-01-23,2024-12-02,Product feature missing
SUP-3797,FNC,Sierra04,In Progress,High,4,153,2024-05-20,2024-09-04,Resolved after escalation
SUP-3798,FNC,Papa02,Closed,Urgent,4,115,2025-04-21,2023-03-20,Customer waited too long
SUP-3799,FNA,Oscar02,In Progress,Low,4,165,2024-12-20,2024-09-12,Issue resolved quickly
SUP-3800,FNA,Oscar02,In Progress,High,2,132,2025-06-15,2024-05-10,Helpful and responsive
SUP-3801,FNB,Sierra04,Closed,High,1,92,2024-05-17,2023-02-15,Excellent support
SUP-3802,FNC,Yankee01,Closed,Low,2,69,2023-07-24,2023-09-20,Unclear communication
SUP-3803,FNA,Hotel02,Pending,Low,4,86,2023-03-04,2023-10-16,Unclear communication
SUP-3804,FNA,Sierra03,Open,Medium,4,143,2024-08-02,2024-03-09,Customer waited too long
SUP-3805,FNC,Echo03,In Progress,Urgent,1,84,2024-07-27,2023-12-22,Excellent support
SUP-3806,FNC,Kilo02,Pending,Urgent,1,138,2025-01-13,2024-05-27,Resolved after escalation
SUP-3807,FNB,Mike03,Closed,Urgent,3,100,2025-07-29,2023-11-16,Pending customer feedback
SUP-3808,FNA,Whiskey04,Open,Medium,5,48,2024-03-30,2024-06-03,Customer waited too long
SUP-3809,FNA,Whiskey02,In Progress,Medium,5,86,2025-07-17,2024-02-06,Pending customer feedback
SUP-3810,FNA,Oscar03,Open,Low,2,71,2024-05-03,2025-06-18,Excellent support
SUP-3811,FNA,Foxtrot03,Pending,High,2,37,2025-01-06,2024-10-11,Customer waited too long
SUP-3812,FNB,Kilo04,In Progress,Low,3,116,2024-03-23,2024-05-03,Need follow-up
SUP-3813,FNC,Alpha03,Pending,Medium,4,85,2023-01-09,2024-03-16,Slow response time
SUP-3814,FNC,Sierra03,Closed,Medium,1,122,2025-03-25,2023-11-12,Product feature missing
SUP-3815,FNC,November01,Open,Medium,2,101,2024-05-16,2025-06-23,Need follow-up
SUP-3816,FNC,Lima03,Pending,Medium,3,34,2025-05-29,2023-11-14,Need follow-up
SUP-3817,FNA,Kilo03,In Progress,High,4,106,2023-03-16,2023-04-15,Pending customer feedback
SUP-3818,FNB,Whiskey04,Open,High,2,2,2023-04-11,2023-04-20,Resolved after escalation
SUP-3819,FNC,Victor02,In Progress,Urgent,1,141,2024-02-22,2024-09-03,Customer waited too long
SUP-3820,FNC,Delta03,In Progress,Medium,3,22,2024-02-08,2024-05-04,Slow response time
SUP-3821,FNA,Papa02,Pending,Low,3,47,2024-02-13,2024-03-24,Customer waited too long
SUP-3822,FNC,India02,In Progress,Medium,3,46,2023-08-13,2023-01-27,Pending customer feedback
SUP-3823,FNC,Hotel04,In Progress,Medium,1,96,2025-02-17,2023-10-25,Customer waited too long
SUP-3824,FNA,Papa04,Open,Medium,3,40,2025-02-19,2024-04-10,Unclear communication
SUP-3825,FNB,Alpha03,Pending,High,1,99,2024-05-07,2023-04-03,Resolved after escalation
SUP-3826,FNA,Sierra02,Pending,Low,4,10,2023-07-18,2023-08-02,Need follow-up
SUP-3827,FNB,Quebec02,Pending,High,1,82,2024-07-05,2025-06-05,Issue resolved quickly
SUP-3828,FNB,Victor02,In Progress,Medium,2,28,2023-06-29,2023-01-19,Slow response time
SUP-3829,FNB,Quebec04,Pending,Medium,1,76,2025-05-20,2023-01-11,Resolved after escalation
